author,s_count,s_mean,s_std,s_min,s_25,s_50,s_75,s_max,comp,neg,neu,pos,rating
aaron leitko,128.0,7.16,0.79,3.9,6.8,7.2,7.7,8.8,-0.09,0.08,0.24,0.87,7.14
abby garnett,6.0,7.02,0.44,6.4,6.78,7.0,7.3,7.6,-0.08,0.11,0.36,0.86,7.02
abigail covington,2.0,7.05,0.78,6.5,6.78,7.05,7.32,7.6,-0.04,0.12,0.35,0.86,7.05
abigail garnett,4.0,7.18,0.74,6.2,6.8,7.35,7.72,7.8,-0.09,0.1,0.39,0.86,7.18
adam dlugacz,2.0,6.3,0.0,6.3,6.3,6.3,6.3,6.3,-0.12,0.13,0.32,0.81,6.3
adam moerder,300.0,6.13,1.38,1.5,5.3,6.6,7.1,8.5,-0.12,0.1,0.28,0.84,6.14
adam ohler,1.0,4.2,,4.2,4.2,4.2,4.2,4.2,-0.17,0.11,0.24,0.81,4.2
adrienne day,1.0,6.2,,6.2,6.2,6.2,6.2,6.2,-0.15,0.06,0.24,0.89,6.2
al shipley,12.0,5.83,1.25,3.8,5.1,5.75,7.02,7.5,-0.05,0.12,0.31,0.84,5.83
alan light,3.0,9.2,0.69,8.8,8.8,8.8,9.4,10.0,-0.07,0.08,0.31,0.88,9.2
alan smithee,1.0,4.0,,4.0,4.0,4.0,4.0,4.0,-0.16,0.06,0.13,0.85,4.0
alex lindhart,1.0,7.9,,7.9,7.9,7.9,7.9,7.9,-0.11,0.09,0.31,0.86,7.9
alex linhardt,52.0,7.7,1.27,2.0,7.07,7.75,8.5,9.7,-0.12,0.09,0.27,0.84,7.7
alexander iadarola,1.0,7.5,,7.5,7.5,7.5,7.5,7.5,-0.14,0.07,0.17,0.88,7.5
alexander lloyd linhardt,28.0,7.3,1.88,3.1,6.57,8.15,8.5,9.7,-0.12,0.09,0.26,0.84,7.3
alison fields,58.0,5.99,1.68,0.1,5.5,6.5,6.9,8.9,-0.08,0.11,0.28,0.84,5.99
allison hussey,14.0,6.58,1.16,3.8,6.05,6.75,7.4,7.9,-0.08,0.12,0.32,0.84,6.58
amanda petrusich,245.0,7.31,1.18,2.9,6.9,7.5,8.0,10.0,-0.12,0.1,0.32,0.84,7.31
amanda petrusich ,1.0,9.0,,9.0,9.0,9.0,9.0,9.0,-0.1,0.1,0.26,0.86,9.0
amy granzin,64.0,7.21,1.13,4.8,6.57,7.5,7.9,10.0,-0.09,0.11,0.31,0.84,7.21
amy phillips,5.0,6.0,3.02,2.0,3.5,7.9,8.1,8.5,-0.11,0.1,0.27,0.82,6.0
